AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LATITUDE,LON_DEGREES,LONGITUDE
1388002,13880,OMS,Omsk Airport,"Omsk, Russia",Russia,RU,,,,33880,"Omsk, Russia",770,54,54.96666667,73,73.30000000
1388003,13880,OMS,Omsk Airport,"Omsk, Russia",Russia,RU,,,,33880,"Omsk, Russia",770,54,54.96722222,73,73.31027778
1388004,13880,OMS,Tsentralny,"Omsk, Russia",Russia,RU,,,,33880,"Omsk, Russia",770,54,54.96722222,73,73.31027778
1388005,13880,OMS,Omsk Tsentralny,"Omsk, Russia",Russia,RU,,,,33880,"Omsk, Russia",770,54,54.96722222,73,73.31027778
1388006,13880,OMS,Omsk Airport,"Omsk, Russia",Russia,RU,,,,33880,"Omsk, Russia",770,54,54.96722222,73,73.31027778
1388007,13880,OMS,Omsk Tsentralny,"Omsk, Russia",Russia,RU,,,,33880,"Omsk, Russia",770,54,54.96722222,73,73.31027778
1388101,13881,ONA,Winona Municipal/Max Conrad Field,"Winona, MN",United States,US,Minnesota,MN,27,33881,"Winona, MN",63,44,44.07666667,91,-91.70611111
1388102,13881,ONA,Winona Municipal/Max Conrad Field,"Winona, MN",United States,US,Minnesota,MN,27,33881,"Winona, MN",63,44,44.07722222,91,-91.70833333
1388103,13881,ONA,Winona Municipal/Max Conrad Field,"Winona, MN",United States,US,Minnesota,MN,27,33881,"Winona, MN",63,44,44.07750000,91,-91.70916667
1388104,13881,ONA,Winona Municipal/Max Conrad Field,"Winona, MN",United States,US,Minnesota,MN,27,33881,"Winona, MN",63,44,44.07972222,91,-91.71166667
1388105,13881,ONA,Winona Municipal/Max Conrad Field,"Winona, MN",United States,US,Minnesota,MN,27,33881,"Winona, MN",63,44,44.07722222,91,-91.70833333
1388106,13881,ONA,Winona Municipal/Max Conrad Field,"Winona, MN",United States,US,Minnesota,MN,27,33881,"Winona, MN",63,44,44.07972222,91,-91.71166667
1388201,13882,OND,Ondangwa Airport,"Ondangwa, Namibia",Namibia,NA,,,,33882,"Ondangwa, Namibia",575,17,-17.88138889,15,15.94777778
1388202,13882,OND,Ondangwa Airport,"Ondangwa, Namibia",Namibia,NA,,,,33882,"Ondangwa, Namibia",575,17,-17.87861111,15,15.95250000
1388203,13882,OND,Ondangwa Airport,"Ondangwa, Namibia",Namibia,NA,,,,33882,"Ondangwa, Namibia",575,17,-17.87833333,15,15.95250000
1388301,13883,ONG,Mornington Island Airport,"Mornington Island, Australia",Australia,AU,,,,33883,"Mornington Island, Australia",802,16,-16.66166667,139,139.16250000
1388302,13883,ONG,Mornington Island Airport,"Mornington Island, Australia",Australia,AU,,,,33883,"Mornington Island, Australia",802,16,-16.66250000,139,139.17805556
1388303,13883,ONG,Mornington Island Airport,"Mornington Island, Australia",Australia,AU,,,,33883,"Mornington Island, Australia",802,16,-16.66138889,139,139.17000000
1388401,13884,ONH,Oneonta Municipal,"Oneonta, NY",United States,US,New York,NY,36,33783,"Oneonta, NY",22,42,42.52472222,75,-75.06444444
1388402,13884,ONH,Albert S Nader Regional,"Oneonta, NY",United States,US,New York,NY,36,33783,"Oneonta, NY",22,42,42.52472222,75,-75.06444444
1388501,13885,ONJ,Odate Noshiro Airport,"Odate Noshiro, Japan",Japan,JP,,,,33885,"Odate Noshiro, Japan",736,40,40.19194444,140,140.37138889
1388601,13886,ONL,O'Neill Municipal,"O'Neill, NE",United States,US,Nebraska,NE,31,33886,"O'Neill, NE",65,42,42.46527778,98,-98.68861111
1388602,13886,ONL,The O'Neill Municipal-John L. Baker Field,"O'Neill, NE",United States,US,Nebraska,NE,31,33886,"O'Neill, NE",65,42,42.47000000,98,-98.68805556
1388603,13886,ONL,The O'Neill Municipal-John L. Baker Field,"O'Neill, NE",United States,US,Nebraska,NE,31,33886,"O'Neill, NE",65,42,42.46944444,98,-98.68777778
1388604,13886,ONL,The O'Neill Municipal-John L. Baker Field,"O'Neill, NE",United States,US,Nebraska,NE,31,33886,"O'Neill, NE",65,42,42.47000000,98,-98.68805556
1388605,13886,ONL,The O'Neill Municipal-John L. Baker Field,"O'Neill, NE",United States,US,Nebraska,NE,31,33886,"O'Neill, NE",65,42,42.46944444,98,-98.68777778
1388701,13887,ONM,Socorro Municipal,"Socorro, NM",United States,US,New Mexico,NM,35,33887,"Socorro, NM",86,34,34.02194444,106,-106.90222222
1388702,13887,ONM,Socorro Municipal,"Socorro, NM",United States,US,New Mexico,NM,35,33887,"Socorro, NM",86,34,34.02250000,106,-106.90305556
1388801,13888,ONN,Onion Bay Airport,"Onion Bay, AK",United States,US,Alaska,AK,02,33888,"Onion Bay, AK",1,58,58.06805556,153,-153.25388889
1388901,13889,ONO,Ontario Municipal,"Ontario, OR",United States,US,Oregon,OR,41,33889,"Ontario, OR",92,44,44.02277778,117,-117.01388889
1388902,13889,ONO,Ontario Municipal,"Ontario, OR",United States,US,Oregon,OR,41,33889,"Ontario, OR",92,44,44.01944444,117,-117.01305556
1389001,13890,ONP,Newport Municipal,"Newport, OR",United States,US,Oregon,OR,41,33890,"Newport, OR",92,44,44.57944444,124,-124.05777778
1389002,13890,ONP,Newport Municipal,"Newport, OR",United States,US,Oregon,OR,41,33890,"Newport, OR",92,44,44.57944444,124,-124.05777778
1389003,13890,ONP,Newport Municipal,"Newport, OR",United States,US,Oregon,OR,41,33890,"Newport, OR",92,44,44.58027778,124,-124.05805556
1389101,13891,ONT,Ontario International,"Ontario, CA",United States,US,California,CA,06,32575,"Los Angeles, CA (Metropolitan Area)",91,34,34.05611111,117,-117.60111111
1389201,13892,ONX,Enrique Adolfo Jimenez,"Colon, Panama",Panama,PA,,,,33892,"Colon, Panama",162,9,9.35666667,79,-79.86750000
1389202,13892,ONX,Enrique Adolfo Jimenez,"Colon, Panama",Panama,PA,,,,33892,"Colon, Panama",162,9,9.36055556,79,-79.86722222
1389203,13892,ONX,Enrique A Jimenez,"Colon, Panama",Panama,PA,,,,33892,"Colon, Panama",162,9,9.36055556,79,-79.86722222
1389204,13892,ONX,Enrique Adolfo Jimenez,"Colon, Panama",Panama,PA,,,,33892,"Colon, Panama",162,9,9.35666667,79,-79.86750000
1389205,13892,ONX,Enrique A Jimenez,"Colon, Panama",Panama,PA,,,,33892,"Colon, Panama",162,9,9.36055556,79,-79.86722222
1389301,13893,OOB,Cobol Alaska/Scaled/,"Cobol, AK",United States,US,Alaska,AK,02,33893,"Cobol, AK",1,57,57.48333333,135,-135.86666667
1389401,13894,OOK,Toksook Bay,"Toksook, AK",United States,US,Alaska,AK,02,33894,"Toksook, AK",1,60,60.53194444,165,-165.10833333
1389402,13894,OOK,Toksook Bay,"Toksook, AK",United States,US,Alaska,AK,02,33894,"Toksook, AK",1,60,60.54138889,165,-165.08722222
1389501,13895,OOL,Coolangatta,"Gold Coast, Australia",Australia,AU,,,,33895,"Gold Coast, Australia",802,28,-28.16611111,153,153.50361111
1389502,13895,OOL,Gold Coast Airport,"Gold Coast, Australia",Australia,AU,,,,33895,"Gold Coast, Australia",802,28,-28.16611111,153,153.50361111
1389503,13895,OOL,Gold Coast Airport,"Gold Coast, Australia",Australia,AU,,,,33895,"Gold Coast, Australia",802,28,-28.16444444,153,153.50472222
1389601,13896,OOM,Cooma Airport,"Cooma, Australia",Australia,AU,,,,33896,"Cooma, Australia",802,36,-36.30833333,148,148.97333333
1389801,13898,OPF,Opa-locka Executive,"Miami, FL",United States,US,Florida,FL,12,32467,"Miami, FL (Metropolitan Area)",33,25,25.90694444,80,-80.28027778
1389802,13898,OPF,Opa-locka Executive,"Miami, FL",United States,US,Florida,FL,12,32467,"Miami, FL (Metropolitan Area)",33,25,25.90694444,80,-80.27833333
1389803,13898,OPF,Opa-locka Executive,"Miami, FL",United States,US,Florida,FL,12,32467,"Miami, FL (Metropolitan Area)",33,25,25.90750000,80,-80.27833333
